configName      Platooning
iniFile         omnetpp.ini
processID       8556
runID           Platooning-0-20191231-13:08:37-8556
totalRun        1
currentRun      0
currentConfig   Platooning
sim timeStep    100 ms
startDateTime   2019-12-31 13:08:37.651
endDateTime     2019-12-31 13:08:56.651
duration        0 hour, 0 minute, 18 second


timeStep    vehId          fromState                     toState                       commandSent    receiverId     senderPltId    receiverPltId    maneuverStartEnd 
57.22       veh            state_mergeDone               state_platoonLeader           CHANGE_Tg      multicast      veh            veh              -                

65.00       veh            state_platoonLeader           state_sendSplitReq            -              -              -              -                -                
65.00       veh            state_sendSplitReq            state_waitForSplitReply       SPLIT_REQ      veh.2          veh            veh              -                

65.01       veh.2          state_platoonFollower         state_waitForCHANGEPL         SPLIT_ACCEPT   veh            veh            veh              -                

65.10       veh            state_waitForSplitReply       state_makeItFreeAgent         -              -              -              -                Split_Start      
65.10       veh            state_makeItFreeAgent         state_waitForAck              CHANGE_PL      veh.2          veh            veh              -                

65.20       veh.2          state_waitForCHANGEPL         state_sendingACK              -              -              -              -                -                
65.20       veh.2          state_sendingACK              state_waitForSplitDone        ACK            veh            veh.2          veh.2            -                

65.25       veh            state_waitForAck              state_changePL                -              -              -              -                -                
65.25       veh            state_changePL                state_waitForAllAcks2         CHANGE_PL      veh.3          veh            veh              -                
65.25       veh            state_changePL                state_waitForAllAcks2         CHANGE_PL      veh.4          veh            veh              -                
65.25       veh            state_changePL                state_waitForAllAcks2         CHANGE_PL      veh.5          veh            veh              -                

65.26       veh.5          state_platoonFollower         state_platoonFollower         ACK            veh            veh.2          veh              -                

65.34       veh.4          state_platoonFollower         state_platoonFollower         ACK            veh            veh.2          veh              -                

65.35       veh.3          state_platoonFollower         state_platoonFollower         ACK            veh            veh.2          veh              -                

65.43       veh            state_waitForAllAcks2         state_splitDone               -              -              -              -                -                
65.43       veh            state_splitDone               state_platoonLeader           CHANGE_Tg      multicast      veh            veh              -                
65.43       veh            state_splitDone               state_platoonLeader           SPLIT_DONE     veh.2          veh            veh              -                

65.49       veh.2          state_waitForSplitDone        state_waitForGap              -              -              -              -                -                

69.09       veh.2          state_waitForGap              state_platoonLeader           GAP_CREATED    veh            veh.2          veh              Split_End        
