configName      Platooning
iniFile         omnetpp.ini
processID       3918
runID           Platooning-0-20191231-13:25:47-3918
totalRun        1
currentRun      0
currentConfig   Platooning
sim timeStep    100 ms
startDateTime   2019-12-31 13:25:47.341
endDateTime     2019-12-31 13:26:03.341
duration        0 hour, 0 minute, 16 second


index          timestamp      vehId          pltMode        pltId          pltDepth       pltSize        pltOptSize     pltMaxSize     
34             1.30           veh1.4         3              veh1.4         0              3              4              10             
34             1.30           veh1.5         3              veh1.4         1              -              -              -              
34             1.30           veh1.6         3              veh1.4         2              -              -              -              

35             1.40           veh            3              veh            0              3              4              10             
35             1.40           veh.1          3              veh            1              -              -              -              
35             1.40           veh.2          3              veh            2              -              -              -              

36             1.40           veh1           3              veh1           0              4              4              10             
36             1.40           veh1.1         3              veh1           1              -              -              -              
36             1.40           veh1.2         3              veh1           2              -              -              -              
36             1.40           veh1.3         3              veh1           3              -              -              -              

37             1.40           veh1.4         3              veh1.4         0              3              4              10             
37             1.40           veh1.5         3              veh1.4         1              -              -              -              
37             1.40           veh1.6         3              veh1.4         2              -              -              -              

38             1.50           veh            3              veh            0              3              4              10             
38             1.50           veh.1          3              veh            1              -              -              -              
38             1.50           veh.2          3              veh            2              -              -              -              

39             1.50           veh1           3              veh1           0              4              4              10             
39             1.50           veh1.1         3              veh1           1              -              -              -              
39             1.50           veh1.2         3              veh1           2              -              -              -              
39             1.50           veh1.3         3              veh1           3              -              -              -              

40             1.50           veh1.4         3              veh1.4         0              3              4              10             
40             1.50           veh1.5         3              veh1.4         1              -              -              -              
40             1.50           veh1.6         3              veh1.4         2              -              -              -              

41             1.60           veh            3              veh            0              3              4              10             
41             1.60           veh.1          3              veh            1              -              -              -              
41             1.60           veh.2          3              veh            2              -              -              -              

42             1.60           veh1           3              veh1           0              4              4              10             
42             1.60           veh1.1         3              veh1           1              -              -              -              
42             1.60           veh1.2         3              veh1           2              -              -              -              
42             1.60           veh1.3         3              veh1           3              -              -              -              

43             1.60           veh1.4         3              veh1.4         0              3              4              10             
43             1.60           veh1.5         3              veh1.4         1              -              -              -              
43             1.60           veh1.6         3              veh1.4         2              -              -              -              

44             1.70           veh            3              veh            0              3              4              10             
44             1.70           veh.1          3              veh            1              -              -              -              
44             1.70           veh.2          3              veh            2              -              -              -              

45             1.70           veh1           3              veh1           0              4              4              10             
45             1.70           veh1.1         3              veh1           1              -              -              -              
45             1.70           veh1.2         3              veh1           2              -              -              -              
45             1.70           veh1.3         3              veh1           3              -              -              -              

46             1.70           veh1.4         3              veh1.4         0              3              4              10             
46             1.70           veh1.5         3              veh1.4         1              -              -              -              
46             1.70           veh1.6         3              veh1.4         2              -              -              -              

47             1.80           veh            3              veh            0              3              4              10             
47             1.80           veh.1          3              veh            1              -              -              -              
47             1.80           veh.2          3              veh            2              -              -              -              

48             1.80           veh1           3              veh1           0              4              4              10             
48             1.80           veh1.1         3              veh1           1              -              -              -              
48             1.80           veh1.2         3              veh1           2              -              -              -              
48             1.80           veh1.3         3              veh1           3              -              -              -              

49             1.80           veh1.4         3              veh1.4         0              3              4              10             
49             1.80           veh1.5         3              veh1.4         1              -              -              -              
49             1.80           veh1.6         3              veh1.4         2              -              -              -              

